method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M3,M3-001,Brake lever,Convert rider hand input into braking command,engineering_inference:S02;S03,Lever pivot binds or has excessive friction,Delayed braking command or delayed release,6,Corrosion dirt ingress poor pivot tolerance,4,Assembly inspection and service check,6,144,Specify sealed pivot bushing and inspection procedure,Designer,engineering_inference:S02;S03,not_applicable,keep
M3,M3-002,Brake lever,Maintain structural integrity under hand load,engineering_inference:S02,Lever cracks or fractures,Sudden inability to actuate brake,9,Stress concentration low material strength impact damage,2,Static load test and visual inspection,7,126,Add fatigue design review and material specification,Designer,engineering_inference:S02,not_applicable,keep
M3,M3-003,Cable or hydraulic path,Transmit lever force to caliper,S01;engineering_inference:S02,Cable attachment slips or detaches,Sudden or severe loss of braking force,9,Insufficient clamp force missing retainer poor assembly,3,Torque check and functional brake test,8,216,Add positive retention feature and torque verification,Manufacturer,S01;engineering_inference:S02,not_applicable,keep
M3,M3-004,Cable or hydraulic path,Transmit braking force consistently,S01;engineering_inference:S02,Cable stretches or frays,Reduced braking force and increased stopping distance,7,Fatigue sharp routing wear at anchor,5,Visual inspection and adjustment check,5,175,Improve cable routing and add replacement interval,Service technician,S01;engineering_inference:S02,not_applicable,keep
M3,M3-005,Cable or hydraulic path,Maintain pressure or force path,S01;engineering_inference:S03,Brakes engage sporadically,Unpredictable deceleration and rider instability,8,Intermittent cable movement air in hydraulic line or sticking linkage,3,Functional brake check,8,192,Add assembly bleed procedure and cable movement check,Manufacturer,S01;engineering_inference:S03,not_applicable,keep
M3,M3-006,Brake caliper,Convert transmitted force to clamping force,engineering_inference:S02;S03,Caliper piston or sliding mechanism sticks,Brake drag or reduced clamping response,7,Corrosion debris seal swelling poor lubrication,4,Maintenance inspection,6,168,Improve dust sealing and service cleaning guidance,Designer,engineering_inference:S02;S03,not_applicable,keep
M3,M3-007,Brake caliper,Maintain pad alignment with rotor,engineering_inference:S02,Caliper misalignment,Uneven pad wear vibration and reduced braking consistency,6,Poor mounting tolerance bent bracket loose adjustment,4,Alignment check,5,120,Add alignment fixture and torque sequence,Manufacturer,engineering_inference:S02,not_applicable,keep
M3,M3-008,Brake pads,Generate friction against rotor,engineering_inference:S02;S03,Pads wear below service limit,Increased stopping distance and loss of braking margin,8,Normal wear abrasive debris poor maintenance,5,Visual pad thickness check,4,160,Add wear indicator and minimum thickness instruction,Service technician,engineering_inference:S02;S03,not_applicable,keep
M3,M3-009,Brake pads,Maintain friction coefficient,engineering_inference:S02,Pad contamination by oil water or debris,Reduced friction and inconsistent braking,7,Environmental exposure maintenance contamination,4,Visual inspection,6,168,Add shielding and replacement instruction after contamination,Service technician,engineering_inference:S02,not_applicable,keep
M3,M3-010,Brake pads,Maintain friction under repeated braking,engineering_inference:S02,Brake fade from overheating,Braking force decreases during repeated stops or slope descent,8,Inadequate pad compound heat buildup,4,Material qualification,7,224,Specify thermal performance test and high-temperature compound,Designer,engineering_inference:S02,not_applicable,keep
M3,M3-011,Disc rotor,Provide stable friction surface,engineering_inference:S03,Rotor warps or has excessive runout,Pulsation vibration and uneven braking,6,Heat distortion impact poor material,4,Runout inspection,6,144,Define runout limit and rotor material control,Designer,engineering_inference:S03,not_applicable,keep
M3,M3-012,Disc rotor,Maintain adequate thickness and surface,engineering_inference:S02;S03,Rotor wears below minimum thickness,Reduced heat capacity and braking performance,7,Abrasion low material hardness delayed replacement,3,Thickness measurement,5,105,Mark minimum thickness and add inspection interval,Service technician,engineering_inference:S02;S03,not_applicable,keep
M3,M3-013,Mounting hardware,Secure caliper and brake components,S01;engineering_inference:S02,Brake cable or caliper mounting attachment fails,Severe loss of braking or misalignment,9,Vibration insufficient torque missing locking feature,3,Torque audit,7,189,Use locking fastener and torque-mark inspection,Manufacturer,S01;engineering_inference:S02,not_applicable,keep
M3,M3-014,Mounting hardware,Maintain component position,engineering_inference:S02,Bracket cracks under fatigue,Caliper displacement and reduced braking,9,Fatigue high load poor bracket geometry,2,Visual inspection,8,144,Increase bracket safety factor and fatigue analysis,Designer,engineering_inference:S02,not_applicable,keep
M3,M3-015,Wheel-level braking response,Decelerate wheel predictably,S01;engineering_inference:S02,Brakes do not engage when commanded,Excessive stopping distance and collision risk,10,Cable detachment hydraulic leak severe caliper failure,2,Functional brake test,8,160,Add pre-ride check and fail-safe design review,Designer,S01;engineering_inference:S02,not_applicable,keep
M3,M3-016,Wheel-level braking response,Decelerate wheel predictably,S01;engineering_inference:S02,Brakes engage too aggressively or unexpectedly,Wheel lock skid or rider fall,8,Poor modulation excessive leverage sticking mechanism,3,Functional test,8,192,Tune leverage ratio and verify modulation behavior,Designer,S01;engineering_inference:S02,not_applicable,keep
