method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M2,M2R2-001,Brake lever,Transfer rider hand input,none,Lever pivot binds during return,Delayed brake release and unstable rider control,6,"Pivot corrosion, contamination, or insufficient clearance",5,Assembly inspection and functional lever check,5,150,Specify sealed pivot bushing and return-force acceptance check,Designer,none,not_applicable,keep
M2,M2R2-002,Brake lever,Transmit rider command to cable or hydraulic path,none,Lever blade cracks or deforms under load,Reduced command force and unpredictable braking response,8,"Material defect, impact damage, or poor section thickness",3,Incoming inspection and lever proof-load check,8,192,Add minimum section requirement and proof-load sampling,Manufacturer,none,not_applicable,keep
M2,M2R2-003,Cable or hydraulic path,Transmit force to caliper,none,Cable anchor slips or detaches,Sudden severe loss of braking force,9,"Insufficient clamping force, missing retention feature, or assembly error",4,Torque inspection and visual cable seating check,8,288,"Add positive retention feature, torque stripe, and assembly poka-yoke",Manufacturer,none,not_applicable,keep
M2,M2R2-004,Cable or hydraulic path,Transmit force without intermittent friction,none,Cable housing kinks or routing creates high friction,Sporadic engagement and delayed brake response,8,"Tight routing radius, damaged housing, or poor frame interface",4,Routing inspection during assembly,8,256,"Define routing radius, housing support, and full-stroke return test",Designer,none,not_applicable,keep
M2,M2R2-005,Cable or hydraulic path,Maintain hydraulic pressure,none,Hydraulic leak or air ingress reduces pressure,Longer stopping distance and reduced brake force,8,"Fitting leak, seal defect, or poor bleeding process",4,Leak inspection and lever feel check,7,224,Specify pressure-rated fittings and production leak test,Manufacturer,none,not_applicable,keep
M2,M2R2-006,Brake caliper,Clamp pads on rotor,none,Caliper piston sticks in partially applied position,"Brake drag, overheating, and inconsistent deceleration",7,"Contamination, corrosion, or seal swelling",4,Functional spin test,7,196,Improve caliper sealing and add drag torque check,Designer,none,not_applicable,keep
M2,M2R2-007,Brake caliper,Apply symmetric clamping force,none,Caliper alignment shifts relative to rotor,Uneven pad wear and reduced braking consistency,7,"Loose mount, tolerance stack-up, or impact deformation",5,Visual alignment and torque check,6,210,Add locating feature and assembly alignment gauge,Manufacturer,none,not_applicable,keep
M2,M2R2-008,Brake pads,Generate stable friction,none,Pad wear below service limit,Longer stopping distance and reduced braking margin,8,"Normal wear, abrasive contamination, or neglected maintenance",5,Visual pad wear inspection,5,200,"Add wear indicator, minimum thickness mark, and maintenance interval",Service technician,none,not_applicable,keep
M2,M2R2-009,Brake pads,Maintain friction under repeated braking,none,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,8,Thermal overload or low-temperature-rated compound,5,Material specification review,7,280,Define thermal fade test and higher-temperature pad compound,Designer,none,not_applicable,keep
M2,M2R2-010,Disc rotor,Provide stable friction surface,none,Rotor warps or develops excessive runout,"Vibration, pulsing, and reduced braking consistency",6,"Heat cycling, impact, or insufficient rotor thickness",3,Runout inspection and rotor thickness check,7,126,"Specify rotor thickness, heat tolerance, and runout limit",Designer,none,not_applicable,keep
M2,M2R2-011,Disc rotor,Provide clean pad contact,none,Rotor contamination reduces friction,Reduced braking force and longer stopping distance,7,"Oil, water, cleaning residue, or road contamination",5,Visual inspection and functional brake check,5,175,Add contamination warning and cleaning guidance,Service technician,none,not_applicable,keep
M2,M2R2-012,Mounting hardware,Hold brake components in position,none,Caliper bolt loosens or retaining fastener backs out,"Caliper shift, misalignment, or severe braking loss",9,"Vibration, missing thread locking, or incorrect torque",3,Torque audit and witness mark,8,216,"Use locking fastener, torque stripe, and assembly verification",Manufacturer,none,not_applicable,keep
M2,M2R2-013,Mounting hardware,Maintain bracket stiffness,none,Brake bracket cracks near mounting hole,Loss of caliper position and degraded braking,9,"Fatigue, stress concentration, or impact",3,Visual inspection and design review,8,216,"Add fillet radius, fatigue review, and proof-load inspection",Designer,none,not_applicable,keep
M2,M2R2-014,Wheel-level braking response,Decelerate wheel predictably,none,Brake does not engage when commanded,Excessive stopping distance and collision risk,10,"Disconnected force path, severe pad wear, or caliper malfunction",2,Pre-ride brake check,9,180,Add pre-ride check procedure and fail-safe design review,Rider,none,not_applicable,keep
M2,M2R2-015,Wheel-level braking response,Modulate deceleration,none,Brake engages too aggressively or unexpectedly,"Wheel lock, skid, and rider fall",8,"Excessive leverage, poor modulation, or contaminated friction pair",4,Functional braking response check,8,256,Define modulation acceptance criteria and adjust leverage/friction pairing,Designer,none,not_applicable,keep
