method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M4,M4NI3-001,Brake lever,Transmit rider command to cable or hydraulic path,use_base,Lever blade cracks or deforms under load,Reduced command force and unpredictable braking response,8,"Material defect, impact damage, or poor section thickness",3,Incoming inspection and lever proof-load check,7,168,Add minimum section requirement and proof-load sampling,Manufacturer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-002,Cable or hydraulic path,Transmit force to caliper,use_base,Cable anchor slips or detaches,Sudden severe loss of braking force,10,"Insufficient clamping force, missing retention feature, or assembly error",4,Torque inspection and visual cable seating check,8,325,"Add positive retention feature, torque stripe, and assembly poka-yoke",Manufacturer,S01; engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-003,Cable or hydraulic path,Transmit force without intermittent friction,use_base,Cable housing kinks or routing creates high friction,Sporadic engagement and delayed brake response,7,"Tight routing radius, damaged housing, or poor frame interface",4,Routing inspection during assembly,7,196,"Define routing radius, housing support, and full-stroke return test",Designer,S01; engineering_inference:S03,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-004,Cable or hydraulic path,Maintain hydraulic pressure,use_base,Hydraulic leak or air ingress reduces pressure,Longer stopping distance and reduced brake force,8,"Fitting leak, seal defect, or poor bleeding process",4,Leak inspection and lever feel check,7,224,Specify pressure-rated fittings and production leak test,Manufacturer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-005,Brake caliper,Clamp pads on rotor,use_base,Caliper piston sticks in partially applied position,"Brake drag, overheating, and inconsistent deceleration",8,"Contamination, corrosion, or seal swelling",4,Functional spin test,6,192,Improve caliper sealing and add drag torque check,Designer,engineering_inference:S03,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-006,Brake caliper,Apply symmetric clamping force,use_base,Caliper alignment shifts relative to rotor,Uneven pad wear and reduced braking consistency,6,"Loose mount, tolerance stack-up, or impact deformation",5,Visual alignment and torque check,6,180,Add locating feature and assembly alignment gauge,Manufacturer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-007,Brake pads,Generate stable friction,use_base,Pad wear below service limit,Longer stopping distance and reduced braking margin,8,"Normal wear, abrasive contamination, or neglected maintenance",5,Visual pad wear inspection,4,160,"Add wear indicator, minimum thickness mark, and maintenance interval",Service technician,engineering_inference:S02;S03,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-008,Brake pads,Maintain friction under repeated braking,use_base,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,9,Thermal overload or low-temperature-rated compound,5,Material specification review,7,315,Define thermal fade test and higher-temperature pad compound,Designer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-009,Disc rotor,Provide stable friction surface,use_base,Rotor warps or develops excessive runout,"Vibration, pulsing, and reduced braking consistency",5,"Heat cycling, impact, or insufficient rotor thickness",3,Runout inspection and rotor thickness check,6,90,,Designer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-010,Disc rotor,Provide clean pad contact,use_base,Rotor contamination reduces friction,Reduced braking force and longer stopping distance,7,"Oil, water, cleaning residue, or road contamination",5,Visual inspection and functional brake check,5,175,Add contamination warning and cleaning guidance,Service technician,engineering_inference:S03,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-011,Mounting hardware,Hold brake components in position,use_base,Caliper bolt loosens or retaining fastener backs out,"Caliper shift, misalignment, or severe braking loss",10,"Vibration, missing thread locking, or incorrect torque",3,Torque audit and witness mark,7,210,"Use locking fastener, torque stripe, and assembly verification",Manufacturer,S01; engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-012,Mounting hardware,Maintain bracket stiffness,use_base,Brake bracket cracks near mounting hole,Loss of caliper position and degraded braking,8,"Fatigue, stress concentration, or impact",3,Visual inspection and design review,8,192,"Add fillet radius, fatigue review, and proof-load inspection",Designer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-013,Wheel-level braking response,Decelerate wheel predictably,use_base,Brake does not engage when commanded,Excessive stopping distance and collision risk,10,"Disconnected force path, severe pad wear, or caliper malfunction",2,Pre-ride brake check,8,160,Add pre-ride check procedure and fail-safe design review,Rider,S01; engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-014,Wheel-level braking response,Modulate deceleration,use_base,Brake engages too aggressively or unexpectedly,"Wheel lock, skid, and rider fall",9,"Excessive leverage, poor modulation, or contaminated friction pair",4,Functional braking response check,8,288,Define modulation acceptance criteria and adjust leverage/friction pairing,Designer,S01; engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-015,Wheel-level braking response,Maintain consistent braking response,use_base,Front and rear brake balance is poorly matched,Rider instability during braking,6,Component mismatch or uneven adjustment,4,Final assembly brake response check,6,144,Add balance check and adjustment procedure,Manufacturer,engineering_inference:S02;S03,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI3-016,Brake pads,Remain secured in caliper,use_base,Pad retaining pin loosens or clip disengages,"Pad shift, noise, or partial braking loss",8,Improper clip seating or vibration loosening,4,Visual inspection of retaining hardware,7,224,Add positive retention clip and assembly verification,Manufacturer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
