method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M2,M2R3-001,Cable or hydraulic path,Transmit force to caliper,none,Cable anchor slips or detaches,Sudden severe loss of braking force,9,"Insufficient clamping force, missing retention feature, or assembly error",3,Torque inspection and visual cable seating check,9,243,"Add positive retention feature, torque stripe, and assembly poka-yoke",Manufacturer,none,not_applicable,keep
M2,M2R3-002,Cable or hydraulic path,Transmit force without intermittent friction,none,Cable housing kinks or routing creates high friction,Sporadic engagement and delayed brake response,8,"Tight routing radius, damaged housing, or poor frame interface",5,Routing inspection during assembly,7,280,"Define routing radius, housing support, and full-stroke return test",Designer,none,not_applicable,keep
M2,M2R3-003,Cable or hydraulic path,Maintain hydraulic pressure,none,Hydraulic leak or air ingress reduces pressure,Longer stopping distance and reduced brake force,8,"Fitting leak, seal defect, or poor bleeding process",3,Leak inspection and lever feel check,8,192,Specify pressure-rated fittings and production leak test,Manufacturer,none,not_applicable,keep
M2,M2R3-004,Brake caliper,Clamp pads on rotor,none,Caliper piston sticks in partially applied position,"Brake drag, overheating, and inconsistent deceleration",7,"Contamination, corrosion, or seal swelling",5,Functional spin test,6,210,Improve caliper sealing and add drag torque check,Designer,none,not_applicable,keep
M2,M2R3-005,Brake caliper,Apply symmetric clamping force,none,Caliper alignment shifts relative to rotor,Uneven pad wear and reduced braking consistency,7,"Loose mount, tolerance stack-up, or impact deformation",4,Visual alignment and torque check,7,196,Add locating feature and assembly alignment gauge,Manufacturer,none,not_applicable,keep
M2,M2R3-006,Brake pads,Generate stable friction,none,Pad wear below service limit,Longer stopping distance and reduced braking margin,8,"Normal wear, abrasive contamination, or neglected maintenance",6,Visual pad wear inspection,4,192,"Add wear indicator, minimum thickness mark, and maintenance interval",Service technician,none,not_applicable,keep
M2,M2R3-007,Brake pads,Maintain friction under repeated braking,none,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,8,Thermal overload or low-temperature-rated compound,4,Material specification review,8,256,Define thermal fade test and higher-temperature pad compound,Designer,none,not_applicable,keep
M2,M2R3-008,Disc rotor,Provide stable friction surface,none,Rotor warps or develops excessive runout,"Vibration, pulsing, and reduced braking consistency",6,"Heat cycling, impact, or insufficient rotor thickness",4,Runout inspection and rotor thickness check,6,144,"Specify rotor thickness, heat tolerance, and runout limit",Designer,none,not_applicable,keep
M2,M2R3-009,Disc rotor,Provide clean pad contact,none,Rotor contamination reduces friction,Reduced braking force and longer stopping distance,7,"Oil, water, cleaning residue, or road contamination",4,Visual inspection and functional brake check,6,168,Add contamination warning and cleaning guidance,Service technician,none,not_applicable,keep
M2,M2R3-010,Mounting hardware,Hold brake components in position,none,Caliper bolt loosens or retaining fastener backs out,"Caliper shift, misalignment, or severe braking loss",9,"Vibration, missing thread locking, or incorrect torque",4,Torque audit and witness mark,7,252,"Use locking fastener, torque stripe, and assembly verification",Manufacturer,none,not_applicable,keep
M2,M2R3-011,Mounting hardware,Maintain bracket stiffness,none,Brake bracket cracks near mounting hole,Loss of caliper position and degraded braking,9,"Fatigue, stress concentration, or impact",2,Visual inspection and design review,9,162,"Add fillet radius, fatigue review, and proof-load inspection",Designer,none,not_applicable,keep
M2,M2R3-012,Wheel-level braking response,Decelerate wheel predictably,none,Brake does not engage when commanded,Excessive stopping distance and collision risk,10,"Disconnected force path, severe pad wear, or caliper malfunction",3,Pre-ride brake check,8,240,Add pre-ride check procedure and fail-safe design review,Rider,none,not_applicable,keep
M2,M2R3-013,Wheel-level braking response,Modulate deceleration,none,Brake engages too aggressively or unexpectedly,"Wheel lock, skid, and rider fall",8,"Excessive leverage, poor modulation, or contaminated friction pair",3,Functional braking response check,9,216,Define modulation acceptance criteria and adjust leverage/friction pairing,Designer,none,not_applicable,keep
M2,M2R3-014,Wheel-level braking response,Maintain consistent braking response,none,Front and rear brake balance is poorly matched,Rider instability during braking,7,Component mismatch or uneven adjustment,5,Final assembly brake response check,6,210,Add balance check and adjustment procedure,Manufacturer,none,not_applicable,keep
M2,M2R3-015,Brake pads,Remain secured in caliper,none,Pad retaining pin loosens or clip disengages,"Pad shift, noise, or partial braking loss",8,Improper clip seating or vibration loosening,3,Visual inspection of retaining hardware,8,192,Add positive retention clip and assembly verification,Manufacturer,none,not_applicable,keep
M2,M2R3-016,Cable or hydraulic path,Recover after brake release,none,Return spring or cable return is insufficient,Brake remains partially engaged after release,6,"Weak return spring, cable drag, or contamination",5,Lever return check,6,180,Specify return-force threshold and contamination-resistant routing,Designer,none,not_applicable,keep
